Nazwisko aktualne,Liczba
BACZYŃSKI,2172
JELEŃ,2171
OSIECKI,2168
GĄDEK,2167
NEUMANN,2167
JEŻ,2166
SOSIŃSKI,2166
STAROŃ,2164
TRZASKA,2164
SZEWCZUK,2160
DAWID,2159
KLEIN,2153
WOJTKOWSKI,2153
MOTYL,2151
OSTASZEWSKI,2150
CZUBAK,2147
POPIOŁEK,2147
MILER,2146
DĘBICKI,2142
MATUSZCZAK,2136
CHOWANIEC,2135
IWANIUK,2133
KUSZ,2133
OGRODNIK,2133
SAKOWSKI,2133
CZERWONKA,2132
SZAFRANIEC,2132
